A0A075B6S6	('T96060009133', 0)
P38149	('T5592920001065', 8706)
P38153	('T5592920000193', 8707)
P38158	('T5592920002186', 8708)
P38162	('T5592920002342', 8709)
P38163	('T5592920004260', 8710)
P38165	('T5592920003827', 8711)
P38167	('T5592920001102', 8712)
P38169	('T5592920002032', 8713)
P38172	('T5592920002441', 8714)
P38182	('T5592920000344', 8715)
P38187	('T5592920004756', 8716)
P38197	('T5592920003024', 8717)
P38198	('T5592920004339', 8718)
P38200	('T5592920004023', 8719)
P38204	('T5592920003671', 8720)
P38205	('T5592920002576', 8721)
P38206	('T5592920003390', 8722)
P38208	('T5592920003075', 8723)
P38210	('T5592920002096', 8724)
P38211	('T5592920001566', 8725)
P38226	('T5592920000827', 8726)
P38227	('T5592920003289', 8727)
P38232	('T5592920003367', 8728)
P38242	('T5592920000150', 8729)
P38247	('T5592920004090', 8730)
P38248	('T5592920001110', 8731)
P38249	('T5592920001150', 8732)
P38251	('T5592920003387', 8733)
P38261	('T5592920001271', 8734)
P38263	('T5592920001496', 8735)
P38264	('T5592920002988', 8736)
P38266	('T5592920000121', 8737)
P38271	('T5592920002766', 8738)
P38276	('T5592920005143', 8739)
P38287	('T5592920000808', 8740)
P38288	('T5592920004634', 8741)
P38291	('T5592920003074', 8742)
P38293	('T5592920004802', 8743)
P38295	('T5592920002214', 8744)
P38308	('T5592920000803', 8745)
P38314	('T5592920003931', 8746)
P38319	('T5592920004722', 8747)
P38326	('T5592920004370', 8748)
P38333	('T5592920001191', 8749)
P38334	('T5592920004689', 8750)
P38336	('T5592920003071', 8751)
P38341	('T5592920002327', 8752)
P38345	('T5592920003924', 8753)
P38348	('T5592920001754', 8754)
P38349	('T5592920004778', 8755)
P38351	('T5592920002812', 8756)
P38352	('T5592920003862', 8757)
P38359	('T5592920004350', 8758)
P38392	('T833330002695', 8759)
P38394	('T833330003414', 8760)
P38421	('T37020009082', 8761)
P38426	('T5592920004654', 8762)
P38438	('T101160007218', 8763)
P38439	('T5592920002102', 8764)
P38444	('T101160000688', 8765)
P38445	('T101160000689', 8766)
P38489	('T833330001876', 8767)
P38521	('T833330003819', 8768)
P38523	('T5592920001590', 8769)
P38532	('T100900006500', 8770)
P38533	('T100900006502', 8771)
P38564	('T45770000380', 8772)
P38570	('T96060008332', 8773)
P38575	('T100900016146', 8774)
P38590	('T5592920002459', 8775)
P38604	('T5592920001223', 8776)
P38605	('T37020002223', 8777)
P38606	('T96060019036', 8778)
P38616	('T5592920005634', 8779)
P38623	('T5592920003341', 8780)
P38624	('T5592920003175', 8781)
P38625	('T5592920001608', 8782)
P38627	('T5592920004812', 8783)
P38631	('T5592920001332', 8784)
P38632	('T5592920002681', 8785)
P38633	('T5592920002267', 8786)
P38637	('T5592920004336', 8787)
P38646	('T96060007104', 8788)
P38649	('T100900001426', 8789)
P38650	('T101160002129', 8790)
P38652	('T101160005286', 8791)
P38656	('T101160003846', 8792)
P38659	('T101160005209', 8793)
P38683	('T833330002888', 8794)
P38684	('T833330002886', 8795)
P38687	('T5592920004267', 8796)
P38688	('T5592920004268', 8797)
P38691	('T5592920002053', 8798)
P38692	('T5592920002018', 8799)
P38693	('T5592920003095', 8800)
P38694	('T5592920002458', 8801)
P38695	('T5592920001804', 8802)
P38700	('T5592920000209', 8803)
P38702	('T5592920002105', 8804)
P38707	('T5592920004416', 8805)
P38710	('T5592920001885', 8806)
P38723	('T5592920000759', 8807)
P38724	('T5592920000245', 8808)
P38727	('T5592920005718', 8809)
P38732	('T5592920001134', 8810)
P38734	('T5592920002523', 8811)
P38735	('T5592920004896', 8812)
P38736	('T5592920001548', 8813)
P38737	('T5592920001107', 8814)
P38738	('T5592920002739', 8815)
P38739	('T5592920004966', 8816)
P38741	('T5592920003427', 8817)
P38755	('T5592920002783', 8818)
P38759	('T5592920004914', 8819)
P38764	('T5592920003648', 8820)
P38766	('T5592920003670', 8821)
P38770	('T5592920000482', 8822)
P38771	('T5592920003664', 8823)
P38774	('T5592920001012', 8824)
P38779	('T5592920000687', 8825)
P38782	('T5592920002271', 8826)
P38784	('T5592920004895', 8827)
P38785	('T5592920001494', 8828)
P38791	('T5592920000979', 8829)
P38792	('T5592920003692', 8830)
P38794	('T5592920002869', 8831)
P38795	('T5592920002547', 8832)
P38796	('T5592920003101', 8833)
P38797	('T5592920003088', 8834)
P38804	('T5592920003926', 8835)
P38805	('T5592920003637', 8836)
P38806	('T5592920006350', 8837)
P38809	('T5592920005735', 8838)
P38813	('T5592920000438', 8839)
P38815	('T5592920006671', 8840)
P38816	('T5592920004699', 8841)
P38819	('T5592920001232', 8842)
P38822	('T5592920000534', 8843)
P38824	('T5592920000774', 8844)
P38828	('T5592920002141', 8845)
P38829	('T5592920005737', 8846)
P38830	('T5592920002589', 8847)
P38838	('T5592920004967', 8848)
P38840	('T5592920000250', 8849)
P38843	('T5592920000684', 8850)
P38845	('T5592920000798', 8851)
P38848	('T5592920002933', 8852)
P38850	('T5592920003799', 8853)
P38852	('T5592920002115', 8854)
P38853	('T5592920002008', 8855)
P38856	('T5592920000179', 8856)
P38858	('T5592920004174', 8857)
P38859	('T5592920001005', 8858)
P38862	('T5592920000343', 8859)
P38863	('T5592920004196', 8860)
P38865	('T5592920000841', 8861)
P38869	('T5592920004365', 8862)
P38870	('T5592920005748', 8863)
P38873	('T5592920002035', 8864)
P38874	('T5592920001170', 8865)
P38875	('T5592920001564', 8866)
P38876	('T5592920003214', 8867)
P38879	('T5592920002543', 8868)
P38880	('T5592920002243', 8869)
P38882	('T5592920004845', 8870)
P38887	('T5592920005663', 8871)
P38888	('T5592920002370', 8872)
P38892	('T5592920000795', 8873)
P38894	('T5592920001341', 8874)
P38909	('T5592920000880', 8875)
P38912	('T5592920001832', 8876)
P38913	('T5592920001277', 8877)
P38915	('T5592920004248', 8878)
P38919	('T96060007902', 8879)
P38922	('T5592920001736', 8880)
P38925	('T5592920004118', 8881)
P38927	('T5592920003375', 8882)
P38928	('T5592920000399', 8883)
P38929	('T5592920000302', 8884)
P38930	('T5592920000814', 8885)
P38931	('T5592920004289', 8886)
P38932	('T5592920004922', 8887)
P38936	('T96060002716', 8888)
P38937	('T2848120000605', 8889)
P38960	('T5592920004329', 8890)
P38962	('T5592920004718', 8891)
P38967	('T5592920004467', 8892)
P38971	('T5592920000164', 8893)
P38972	('T5592920003237', 8894)
P38983	('T101160006217', 8895)
P38986	('T5592920000296', 8896)
P38987	('T5592920004515', 8897)
P38988	('T5592920001492', 8898)
P38990	('T5592920003865', 8899)
P38991	('T5592920001907', 8900)
P38992	('T5592920004357', 8901)
P38993	('T5592920001307', 8902)
P39000	('T5592920004021', 8903)
P39001	('T5592920004801', 8904)
P39004	('T5592920001806', 8905)
P39005	('T5592920002050', 8906)
P39006	('T5592920003183', 8907)
P39007	('T5592920004337', 8908)
P39008	('T5592920003069', 8909)
P39009	('T5592920001067', 8910)
P39011	('T5592920000430', 8911)
P39012	('T5592920001424', 8912)
P39016	('T5592920002418', 8913)
P39019	('T96060014957', 8914)
P39023	('T96060014629', 8915)
P39032	('T101160006043', 8916)
P39038	('T100900001764', 8917)
P39054	('T100900004216', 8918)
P39059	('T96060003546', 8919)
P39069	('T101160003571', 8920)
P39073	('T5592920004290', 8921)
P39076	('T5592920004491', 8922)
P39078	('T5592920004492', 8923)
P39083	('T5592920003393', 8924)
P39098	('T100900008413', 8925)
P39103	('T5592920000766', 8926)
P39107	('T5592920002378', 8927)
P39108	('T5592920002943', 8928)
P39111	('T5592920004865', 8929)
P39112	('T5592920001060', 8930)
P39113	('T5592920000563', 8931)
P39161	('T833330003043', 8932)
P39163	('T833330000365', 8933)
P39172	('T833330004512', 8934)
P39173	('T833330003544', 8935)
P39177	('T833330003030', 8936)
P39180	('T833330000066', 8937)
P39196	('T833330001559', 8938)
P39199	('T833330002185', 8939)
P39207	('T37020008811', 8940)
P39263	('T833330003676', 8941)
P39265	('T833330000103', 8942)
P39270	('T833330004074', 8943)
P39277	('T833330004080', 8944)
P39288	('T833330002321', 8945)
P39297	('T833330000300', 8946)
P39304	('T833330003009', 8947)
P39306	('T833330003011', 8948)
P39310	('T833330004439', 8949)
P39325	('T833330004448', 8950)
P39333	('T833330000261', 8951)
P39338	('T833330004103', 8952)
P39346	('T833330001303', 8953)
P39353	('T833330004109', 8954)
P39356	('T833330004119', 8955)
P39359	('T833330004114', 8956)
P39365	('T833330002686', 8957)
P39375	('T833330001432', 8958)
P39376	('T833330004124', 8959)
P39377	('T833330001289', 8960)
P39380	('T833330001489', 8961)
P39381	('T833330004127', 8962)
P39384	('T833330004130', 8963)
P39385	('T833330004131', 8964)
P39398	('T833330001523', 8965)
P39399	('T833330001522', 8966)
P39400	('T833330001521', 8967)
P39401	('T833330001973', 8968)
P39405	('T833330000843', 8969)
P39406	('T833330002585', 8970)
P39408	('T833330004147', 8971)
P39411	('T833330001866', 8972)
P39428	('T100900015546', 8973)
P39453	('T833330002887', 8974)
P39515	('T5592920004574', 8975)
P39517	('T5592920000972', 8976)
P39520	('T5592920001847', 8977)
P39521	('T5592920001312', 8978)
P39524	('T5592920000303', 8979)
P39535	('T5592920002990', 8980)
P39538	('T5592920004755', 8981)
P39654	('T100900008110', 8982)
P39655	('T100900008109', 8983)
P39656	('T96060012283', 8984)
P39682	('T5592920003141', 8985)
P39683	('T5592920002669', 8986)
P39684	('T5592920002912', 8987)
P39688	('T100900005370', 8988)
P39689	('T100900002334', 8989)
P39708	('T5592920000971', 8990)
P39709	('T5592920003981', 8991)
P39712	('T5592920001343', 8992)
P39714	('T5592920000423', 8993)
P39718	('T5592920002930', 8994)
P39719	('T5592920001336', 8995)
P39720	('T5592920002732', 8996)
P39723	('T5592920004195', 8997)
P39744	('T5592920002634', 8998)
P39745	('T62390001758', 8999)
P39770	('T72270002756', 9000)
P39825	('T2848120002292', 9001)
P39832	('T833330004513', 9002)
P39838	('T833330002356', 9003)
P39875	('T5592920001268', 9004)
P39876	('T100900015038', 9005)
P39877	('T96060012425', 9006)
P39880	('T96060004108', 9007)
P39900	('T96060010378', 9008)
P39904	('T5592920004925', 9009)
P39905	('T96060006611', 9010)
P39923	('T5592920002667', 9011)
P39926	('T5592920004293', 9012)
P39927	('T5592920003215', 9013)
P39928	('T5592920004092', 9014)
P39929	('T5592920004145', 9015)
P39932	('T5592920004327', 9016)
P39939	('T5592920003738', 9017)
P39945	('T5592920000300', 9018)
P39947	('T101160001122', 9019)
P39948	('T101160001123', 9020)
P39949	('T101160001126', 9021)
P39950	('T101160001128', 9022)
P39955	('T5592920003872', 9023)
P39958	('T5592920001469', 9024)
P39961	('T5592920005416', 9025)
P39964	('T2848120000422', 9026)
P39969	('T5592920000467', 9027)
P39970	('T5592920000028', 9028)
P39976	('T5592920000996', 9029)
P39979	('T5592920001728', 9030)
P39980	('T5592920004056', 9031)
P39984	('T5592920001648', 9032)
P39988	('T5592920000504', 9033)
P39994	('T5592920005437', 9034)
P39995	('T5592920001084', 9035)
P39997	('T5592920002665', 9036)
P39998	('T5592920001122', 9037)
P40004	('T5592920005432', 9038)
P40012	('T5592920003103', 9039)
P40017	('T5592920005032', 9040)
P40018	('T5592920003781', 9041)
P40024	('T5592920000224', 9042)
P40028	('T5592920005455', 9043)
P40031	('T5592920004218', 9044)
P40034	('T5592920001968', 9045)
P40038	('T5592920002870', 9046)
P40054	('T5592920003983', 9047)
P40060	('T5592920001830', 9048)
P40061	('T5592920004703', 9049)
P40064	('T5592920002707', 9050)
P40069	('T5592920001863', 9051)
P40071	('T5592920004610', 9052)
P40072	('T5592920004102', 9053)
P40075	('T5592920003909', 9054)
P40077	('T5592920001052', 9055)
P40078	('T5592920002679', 9056)
P40079	('T5592920002091', 9057)
P40080	('T5592920004880', 9058)
P40085	('T5592920004464', 9059)
P40088	('T5592920001397', 9060)
P40092	('T5592920004204', 9061)
P40094	('T5592920000724', 9062)
P40100	('T5592920003231', 9063)
P40107	('T5592920001540', 9064)
P40120	('T833330001975', 9065)
P40121	('T96060002143', 9066)
P40123	('T96060002140', 9067)
P40124	('T100900001843', 9068)
P40126	('T96060018656', 9069)
P40142	('T100900015059', 9070)
P40146	('T101160000243', 9071)
P40154	('T5592920001827', 9072)
P40160	('T5592920003429', 9073)
P40161	('T5592920003798', 9074)
P40185	('T5592920002357', 9075)
P40188	('T5592920003399', 9076)
P40190	('T101160003401', 9077)
P40193	('T992870001099', 9078)
P40200	('T96060017079', 9079)
P40204	('T5592920003848', 9080)
P40222	('T96060018628', 9081)
P40223	('T100900003310', 9082)
P40224	('T100900013226', 9083)
P40226	('T100900015480', 9084)
P40229	('T37020003162', 9085)
P40235	('T2848120001166', 9086)
P40236	('T2848120001167', 9087)
P40238	('T96060018100', 9088)
P40260	('T5592920002279', 9089)
P40261	('T96060011335', 9090)
P40301	('T72270002442', 9091)
P40303	('T5592920003171', 9092)
P40304	('T72270002451', 9093)
P40305	('T96060007920', 9094)
P40313	('T96060004060', 9095)
P40314	('T5592920002545', 9096)
P40316	('T5592920003965', 9097)
P40318	('T5592920001010', 9098)
P40319	('T5592920001163', 9099)
P40327	('T5592920003157', 9100)
P40328	('T5592920004478', 9101)
P40336	('T100900016326', 9102)
P40338	('T100900016288', 9103)
P40339	('T5592920003386', 9104)
P40340	('T5592920004479', 9105)
P40342	('T5592920004383', 9106)
P40344	('T5592920000338', 9107)
P40350	('T5592920000154', 9108)
P40352	('T5592920003301', 9109)
P40354	('T5592920002692', 9110)
P40355	('T5592920005855', 9111)
P40357	('T5592920003964', 9112)
P40358	('T5592920001966', 9113)
P40362	('T5592920004834', 9114)
P40363	('T5592920003998', 9115)
P40366	('T5592920000999', 9116)
P40368	('T5592920002725', 9117)
P40369	('T2848120000170', 9118)
P40371	('T2848120002222', 9119)
P40373	('T2848120001173', 9120)
P40374	('T2848120001177', 9121)
P40375	('T2848120001463', 9122)
P40377	('T2848120001481', 9123)
P40379	('T2848120002475', 9124)
P40381	('T2848120003253', 9125)
P40384	('T2848120003147', 9126)
P40394	('T96060000489', 9127)
P40395	('T5592920003418', 9128)
P40414	('T5592920004644', 9129)
P40422	('T5592920003614', 9130)
P40423	('T72270002968', 9131)
P40426	('T96060012597', 9132)
P40438	('T5592920004952', 9133)
P40445	('T5592920005815', 9134)
P40450	('T5592920000464', 9135)
P40454	('T5592920003222', 9136)
P40460	('T5592920002580', 9137)
P40465	('T5592920000817', 9138)
P40466	('T5592920001330', 9139)
P40468	('T5592920004462', 9140)
P40469	('T5592920002285', 9141)
P40472	('T5592920004042', 9142)
P40479	('T5592920003928', 9143)
P40480	('T5592920001721', 9144)
P40482	('T5592920003948', 9145)
P40483	('T5592920005803', 9146)
P40484	('T5592920002385', 9147)
P40485	('T5592920004088', 9148)
P40486	('T5592920004032', 9149)
P40487	('T5592920001026', 9150)
P40493	('T5592920000458', 9151)
P40494	('T5592920003115', 9152)
P40495	('T5592920002163', 9153)
P40496	('T5592920003812', 9154)
P40499	('T5592920001813', 9155)
P40500	('T5592920005799', 9156)
P40504	('T5592920002063', 9157)
P40509	('T5592920000735', 9158)
P40510	('T5592920003982', 9159)
P40511	('T5592920004214', 9160)
P40512	('T5592920000821', 9161)
P40513	('T5592920002192', 9162)
P40522	('T5592920004882', 9163)
P40525	('T5592920003491', 9164)
P40527	('T5592920000307', 9165)
P40529	('T5592920000088', 9166)
P40531	('T5592920001613', 9167)
P40532	('T5592920000213', 9168)
P40533	('T5592920004513', 9169)
P40537	('T5592920004798', 9170)
P40540	('T5592920001176', 9171)
P40545	('T5592920001686', 9172)
P40547	('T5592920004890', 9173)
P40552	('T5592920004589', 9174)
P40553	('T5592920001020', 9175)
P40554	('T5592920004819', 9176)
P40558	('T5592920000655', 9177)
P40565	('T5592920001946', 9178)
P40566	('T5592920005821', 9179)
P40569	('T5592920001445', 9180)
P40573	('T5592920002287', 9181)
P40574	('T5592920005027', 9182)
P40580	('T5592920000533', 9183)
P40582	('T5592920001599', 9184)
P40583	('T5592920006664', 9185)
P40615	('T101160001988', 9186)
P40617	('T96060001127', 9187)
P40645	('T100900013869', 9188)
P40646	('T100900013870', 9189)
P40656	('T72270002926', 9190)
P40657	('T72270002927', 9191)
P40692	('T96060010356', 9192)
P40693	('T5592920003530', 9193)
P40700	('T992870001394', 9194)
P40701	('T992870001396', 9195)
P40711	('T833330000154', 9196)
P40729	('T992870000439', 9197)
P40748	('T101160007004', 9198)
P40749	('T100900014448', 9199)
P40753	('T100900000652', 9200)
P40764	('T100900003942', 9201)
P40791	('T72270001775', 9202)
P40792	('T72270002511', 9203)
P40795	('T72270001060', 9204)
P40796	('T72270001627', 9205)
P40798	('T72270002997', 9206)
P40809	('T72270002557', 9207)
P40818	('T96060018831', 9208)
P40849	('T2848120001567', 9209)
P40850	('T5592920002348', 9210)
P40858	('T5592920003582', 9211)
P40879	('T96060015229', 9212)
P40884	('T5592920001859', 9213)
P40886	('T5592920001807', 9214)
P40897	('T5592920002764', 9215)
P40926	('T96060010083', 9216)
P40936	('T100900006994', 9217)
P40937	('T96060014373', 9218)
P40939	('T96060005044', 9219)
P40941	('T37020000431', 9220)
P40945	('T72270000154', 9221)
P40956	('T5592920001606', 9222)
P40958	('T5592920002172', 9223)
P40960	('T5592920002808', 9224)
P40961	('T5592920002973', 9225)
P40965	('T5592920002463', 9226)
P40975	('T5592920003038', 9227)
P40986	('T5592920000609', 9228)
P40990	('T5592920002479', 9229)
P40992	('T5592920003676', 9230)
P40993	('T5592920003580', 9231)
P40994	('T5592920000231', 9232)
P40995	('T2848120002926', 9233)
P40996	('T2848120002927', 9234)
P40999	('T2848120002173', 9235)
P41002	('T96060002531', 9236)
P41003	('T2848120003080', 9237)
P41034	('T101160007599', 9238)
P41036	('T833330001844', 9239)
P41042	('T72270002698', 9240)
P41047	('T100900015357', 9241)
P41056	('T5592920003489', 9242)
P41057	('T5592920003743', 9243)
P41073	('T72270002302', 9244)
P41088	('T37020002486', 9245)
P41091	('T96060007895', 9246)
P41092	('T72270002591', 9247)
P41123	('T101160006019', 9248)
P41127	('T37020012052', 9249)
P41134	('T96060007861', 9250)
P41135	('T101160003312', 9251)
P41137	('T101160003313', 9252)
P41138	('T101160003314', 9253)
P41146	('T96060011988', 9254)
P41151	('T37020006560', 9255)
P41160	('T100900007966', 9256)
P41161	('T96060005496', 9257)
P41180	('T96060002193', 9258)
P41182	('T96060001611', 9259)
P41208	('T96060002877', 9260)
P41209	('T100900002463', 9261)
P41214	('T96060005172', 9262)
P41217	('T96060012331', 9263)
P41220	('T96060014447', 9264)
P41223	('T96060001872', 9265)
P41224	('T101160007169', 9266)
P41227	('T96060010863', 9267)
P41229	('T96060008717', 9268)
P41231	('T96060012370', 9269)
P41232	('T101160005057', 9270)
P41233	('T100900000120', 9271)
P41234	('T100900000121', 9272)
P41238	('T96060000256', 9273)
P41240	('T96060003943', 9274)
P41250	('T96060006485', 9275)
P41251	('T100900009920', 9276)
P41252	('T96060016884', 9277)
P41271	('T96060010953', 9278)
P41272	('T100900002228', 9279)
P41274	('T100900015359', 9280)
P41277	('T5592920001576', 9281)
P41318	('T5592920002155', 9282)
P41338	('T5592920004561', 9283)
P41375	('T72270001430', 9284)
P41377	('T37020006940', 9285)
P41390	('T2848120002372', 9286)
P41407	('T833330000236', 9287)
P41409	('T833330002433', 9288)
P41413	('T101160005169', 9289)
P41439	('T96060006192', 9290)
P41441	('T833330001123', 9291)
P41443	('T833330001125', 9292)
P41498	('T101160005513', 9293)
P41562	('T101160003318', 9294)
P41567	('T96060005170', 9295)
P41586	('T96060012448', 9296)
P41587	('T96060019100', 9297)
P41596	('T72270000800', 9298)
P41682	('T101160000251', 9299)
P41696	('T5592920000402', 9300)
P41697	('T5592920000522', 9301)
P41732	('T96060018389', 9302)
P41733	('T5592920000629', 9303)
P41734	('T5592920001811', 9304)
P41735	('T5592920000746', 9305)
P41738	('T101160000300', 9306)
P41739	('T101160000554', 9307)
P41743	('T96060008943', 9308)
P41777	('T101160004759', 9309)
P41778	('T100900010598', 9310)
P41800	('T5592920002358', 9311)
P41806	('T5592920004894', 9312)
P41809	('T5592920001692', 9313)
P41814	('T5592920004678', 9314)
P41815	('T5592920000406', 9315)
P41817	('T5592920000855', 9316)
P41819	('T5592920000989', 9317)
P41820	('T2848120000292', 9318)
P41829	('T62390001985', 9319)
P41830	('T62390000487', 9320)
P41832	('T5592920000461', 9321)
P41833	('T5592920001871', 9322)
P41848	('T62390002957', 9323)
P41855	('T62390000965', 9324)
P41877	('T62390001423', 9325)
P41891	('T2848120001006', 9326)
P41892	('T2848120000412', 9327)
P41893	('T2848120002231', 9328)
P41896	('T5592920004439', 9329)
P41900	('T72270003068', 9330)
P41902	('T5592920000800', 9331)
P41909	('T5592920003259', 9332)
P41910	('T5592920002174', 9333)
P41911	('T5592920001555', 9334)
P41920	('T5592920006679', 9335)
P41921	('T5592920001595', 9336)
P41930	('T5592920004297', 9337)
P41932	('T62390000001', 9338)
P41935	('T62390001271', 9339)
P41940	('T5592920002404', 9340)
P41948	('T5592920002280', 9341)
P41964	('T72270000786', 9342)
P41968	('T96060010017', 9343)
P41969	('T100900004419', 9344)
P41971	('T100900004420', 9345)
P41978	('T45770000646', 9346)
P42003	('T72270001711', 9347)
P42025	('T96060000413', 9348)
P42043	('T37020006548', 9349)
P42082	('T100900002271', 9350)
P42123	('T101160003859', 9351)
P42124	('T72270000998', 9352)
P42126	('T96060005051', 9353)
P42158	('T37020002652', 9354)
P42167	('T96060009182', 9355)
P42168	('T62390001451', 9356)
P42170	('T62390002462', 9357)
P42171	('T62390002425', 9358)
P42209	('T100900013302', 9359)
P42223	('T5592920003885', 9360)
P42225	('T100900014210', 9361)
P42226	('T96060016690', 9362)
P42227	('T100900014212', 9363)
P42232	('T100900014187', 9364)
P42263	('T96060007067', 9365)
P42264	('T101160002959', 9366)
P42271	('T72270003108', 9367)
P42287	('T72270001284', 9368)
P42325	('T72270001947', 9369)
P42331	('T96060014495', 9370)
P42336	('T96060013088', 9371)
P42337	('T100900011014', 9372)
P42339	('T37020010035', 9373)
P42345	('T96060010686', 9374)
P42356	('T96060012996', 9375)
P42357	('T96060007678', 9376)
P42522	('T446890001862', 9377)
P42523	('T446890003013', 9378)
P42524	('T446890000452', 9379)
P42525	('T446890000948', 9380)
P42529	('T446890000427', 9381)
P42530	('T446890000799', 9382)
P42567	('T100900004560', 9383)
P42573	('T62390000391', 9384)
P42575	('T96060002179', 9385)
P42581	('T100900006411', 9386)
P42582	('T100900009732', 9387)
P42590	('T833330003852', 9388)
P42593	('T833330000793', 9389)
P42601	('T833330000107', 9390)
P42604	('T833330003038', 9391)
P42619	('T833330004405', 9392)
P42626	('T833330003865', 9393)
P42630	('T833330002827', 9394)
P42632	('T833330002825', 9395)
P42645	('T37020000008', 9396)
P42656	('T2848120002425', 9397)
P42658	('T96060004817', 9398)
P42669	('T100900011711', 9399)
P42679	('T96060009971', 9400)
P42684	('T96060000279', 9401)
P42685	('T96060006270', 9402)
P42694	('T96060007382', 9403)
P42696	('T96060014204', 9404)
P42701	('T96060007800', 9405)
P42703	('T100900008010', 9406)
P42704	('T96060009490', 9407)
P42706	('T98230001348', 9408)
P42731	('T37020009544', 9409)
P42732	('T37020012390', 9410)
P42734	('T37020002123', 9411)
P42736	('T37020011635', 9412)
P42742	('T37020011111', 9413)
P42743	('T37020014562', 9414)
P42749	('T37020014590', 9415)
P42751	('T37020002302', 9416)
P42752	('T37020002304', 9417)
P42758	('T37020015188', 9418)
P42760	('T37020006291', 9419)
P42762	('T37020002731', 9420)
P42763	('T37020004429', 9421)
P42765	('T96060017526', 9422)
P42768	('T96060019235', 9423)
P42772	('T96060002720', 9424)
P42773	('T96060002721', 9425)
P42774	('T37020005783', 9426)
P42785	('T96060012703', 9427)
P42787	('T72270000404', 9428)
P42791	('T37020012062', 9429)
P42795	('T37020012047', 9430)
P42797	('T37020012527', 9431)
P42801	('T37020007004', 9432)
P42804	('T37020006539', 9433)
P42833	('T5592920001796', 9434)
P42834	('T5592920002236', 9435)
P42836	('T5592920002945', 9436)
P42839	('T5592920004898', 9437)
P42842	('T5592920001183', 9438)
P42843	('T5592920004072', 9439)
P42844	('T5592920006710', 9440)
P42846	('T5592920002051', 9441)
P42866	('T100900010287', 9442)
P42867	('T100900005919', 9443)
P42893	('T101160002159', 9444)
P42900	('T5592920004095', 9445)
P42910	('T833330002260', 9446)
P42911	('T833330002262', 9447)
P42913	('T833330004410', 9448)
P42915	('T833330004412', 9449)
P42925	('T100900011734', 9450)
P42932	('T100900014765', 9451)
P42934	('T5592920003046', 9452)
P42938	('T5592920004499', 9453)
P42939	('T5592920002525', 9454)
P42941	('T5592920003984', 9455)
P42943	('T5592920004495', 9456)
P43006	('T100900004251', 9457)
P43007	('T96060015439', 9458)
P43021	('T100900009798', 9459)
P43025	('T100900014853', 9460)
P43026	('T96060006601', 9461)
P43114	('T101160005237', 9462)
P43117	('T100900010807', 9463)
P43119	('T96060012989', 9464)
P43123	('T5592920004733', 9465)
P43132	('T5592920000479', 9466)
P43135	('T100900003047', 9467)
P43143	('T101160000148', 9468)
P43144	('T101160000150', 9469)
P43220	('T96060006754', 9470)
P43241	('T100900002354', 9471)
P43246	('T96060010585', 9472)
P43247	('T100900009112', 9473)
P43248	('T72270001862', 9474)
P43250	('T96060007085', 9475)
P43254	('T37020002904', 9476)
P43255	('T37020003206', 9477)
P43267	('T100900013857', 9478)
P43268	('T96060005495', 9479)
P43273	('T37020013992', 9480)
P43287	('T37020010096', 9481)
P43288	('T37020007389', 9482)
P43292	('T37020013435', 9483)
P43295	('T37020011732', 9484)
P43298	('T37020014153', 9485)
P43307	('T96060016611', 9486)
P43308	('T96060016612', 9487)
P43320	('T96060003820', 9488)
P43337	('T833330001934', 9489)
P43341	('T833330001581', 9490)
P43345	('T100900015093', 9491)
P43352	('T100900011861', 9492)
P43353	('T96060000680', 9493)
P43356	('T96060009856', 9494)
P43357	('T96060009857', 9495)
P43359	('T96060009859', 9496)
P43362	('T96060009862', 9497)
P43363	('T96060009863', 9498)
P43364	('T96060009864', 9499)
P43378	('T96060013852', 9500)
P43405	('T96060009083', 9501)
P43406	('T100900007150', 9502)
P43407	('T100900013219', 9503)
P43427	('T101160003031', 9504)
P43429	('T101160002685', 9505)
P43432	('T100900006881', 9506)
P43488	('T100900015356', 9507)
P43497	('T5592920000873', 9508)
P43508	('T62390000558', 9509)
P43531	('T833330004264', 9510)
P43533	('T833330000881', 9511)
P43534	('T5592920004553', 9512)
P43549	('T5592920005495', 9513)
P43550	('T5592920000902', 9514)
P43551	('T5592920005494', 9515)
P43553	('T5592920000166', 9516)
P43556	('T5592920003397', 9517)
P43558	('T5592920002798', 9518)
P43560	('T5592920002074', 9519)
P43561	('T5592920001309', 9520)
P43563	('T5592920002386', 9521)
P43564	('T5592920005491', 9522)
P43571	('T5592920000497', 9523)
P43572	('T5592920001202', 9524)
P43575	('T5592920002851', 9525)
P43579	('T5592920001826', 9526)
P43581	('T5592920001792', 9527)
P43587	('T5592920006638', 9528)
P43588	('T5592920003644', 9529)
P43589	('T5592920003860', 9530)
P43591	('T5592920005503', 9531)
P43593	('T5592920004765', 9532)
P43596	('T5592920001900', 9533)
P43601	('T5592920000320', 9534)
P43603	('T5592920002137', 9535)
P43605	('T5592920001118', 9536)
P43609	('T5592920003774', 9537)
P43610	('T5592920001930', 9538)
P43613	('T5592920001226', 9539)
P43619	('T5592920002546', 9540)
P43623	('T5592920002297', 9541)
P43626	('T96060008751', 9542)
P43629	('T96060008762', 9543)
P43631	('T96060008758', 9544)
P43632	('T96060008760', 9545)
P43633	('T5592920000158', 9546)
P43634	('T5592920000670', 9547)
P43635	('T5592920000695', 9548)
P43636	('T5592920000152', 9549)
